----------------------------------------------------------
-------------------Start of evolution---------------------
----------------------------------------------------------
Description:
    Function: parabaloid
    Dim size: 2
    Obj Size: 1
Variables:
    Mutation: mutGaussian
    Selection: selTournament
    Mean: 0
    Std Dev: 0.5
    Indpb Mutation: 0.05
    Population Size: 200
    Generations: 400
    CXPB, MUTPB: 0.5, 0.2
    Selection tournsize: 3
[[ 0.71426329  0.12008321]],(-0.52459202658356929,)
[[ 0.46155045  0.50667059]],(-0.46974390623530243,)
[[ 0.6188997   0.37252789]],(-0.52181386545511776,)
[[ 0.35804052  0.45746174]],(-0.33746425778094868,)
[[ 0.62367101  0.79441891]],(-1.0200669338841553,)
[[ 0.0087047  0.1458412]],(-0.021345427867916992,)
[[ 0.02749512  0.63953539]],(-0.40976149317529181,)
[[ 0.9900559   0.68547077]],(-1.4500808637372051,)
[[ 0.44639698  0.17956778]],(-0.23151485356816895,)
[[ 0.44261404  0.02352601]],(-0.19646066160256784,)
[[ 0.42994695  0.05867174]],(-0.18829675330492557,)
[[ 0.86240673  0.24377059]],(-0.80316947260455596,)
[[ 0.76904646  0.76787543]],(-1.1810651313633809,)
[[ 0.84839657  0.91991541]],(-1.5660211085878832,)
[[ 0.82327785  0.09272385]],(-0.68638413716862023,)
[[ 0.43216845  0.05771654]],(-0.19010076958657721,)
[[ 0.1424512   0.43809588]],(-0.21222034634535777,)
[[ 0.14620447  0.42672084]],(-0.2034664243266652,)
[[ 0.78749088  0.0751354 ]],(-0.62578720975811675,)
[[ 0.49394735  0.40255244]],(-0.40603245376880653,)
[[ 0.51030073  0.27724001]],(-0.33726885389828964,)
[[ 0.4349807   0.42473602]],(-0.36960889587293855,)
[[ 0.9610286   0.89703555]],(-1.7282487545589513,)
[[ 0.72711837  0.23374979]],(-0.583340085455894,)
[[ 0.87446134  0.55830928]],(-1.0763918923541775,)
[[ 0.69830824  0.87767816]],(-1.2579533496487572,)
[[ 0.23327001  0.73312335]],(-0.59188473889103255,)
[[ 0.52493771  0.77128953]],(-0.87044714085611785,)
[[ 0.71867365  0.2510273 ]],(-0.57950652200167119,)
[[ 0.69446359  0.77183693]],(-1.078011923908843,)
[[ 0.27307651  0.17988495]],(-0.10692937116143136,)
[[ 0.46893348  0.27398921]],(-0.29496869329901743,)
[[ 0.61378712  0.43162431]],(-0.56303416712568555,)
[[ 0.00240257  0.83962941]],(-0.70498331115952784,)
[[ 0.725119    0.66781284]],(-0.97177154704935353,)
[[ 0.10808222  0.77305009]],(-0.60928820203975476,)
[[ 0.1747692  0.8272019]],(-0.71480725761301245,)
[[ 0.88918936  0.02544462]],(-0.79130515228047194,)
[[ 0.38748181  0.08989381]],(-0.15822305340764051,)
[[ 0.7937967   0.92303043]],(-1.4820983743586573,)
[[ 0.37954636  0.75383292]],(-0.71231951104992663,)
[[ 0.03940692  0.85961045]],(-0.74048303014035877,)
[[ 0.31876157  0.65750009]],(-0.53391530851634239,)
[[ 0.71946497  0.57687667]],(-0.850416534508458,)
[[ 0.47229582  0.73529329]],(-0.76371956446674361,)
[[ 0.54856622  0.51872405]],(-0.56999953804507242,)
[[ 0.13857098  0.48727334]],(-0.25663722085612339,)
[[ 0.42642857  0.25762836]],(-0.24821369993433945,)
[[ 0.71244892  0.4750599 ]],(-0.73326537736020714,)
[[ 0.16302303  0.58747088]],(-0.37169853697210375,)
[[ 0.32115846  0.30715127]],(-0.19748466186578825,)
[[ 0.06740513  0.62088481]],(-0.39004140299638485,)
[[ 0.81782712  0.01521666]],(-0.66907275302089941,)
[[ 0.56672157  0.37711956]],(-0.4633924966844023,)
[[ 0.39493966  0.96454145]],(-1.0863175559497267,)
[[ 0.65962776  0.80290512]],(-1.0797654232818243,)
[[ 0.02609492  0.68321512]],(-0.46746385162466692,)
[[ 0.56945305  0.55656078]],(-0.63403667658582541,)
[[ 0.58470788  0.38015199]],(-0.48639883889316526,)
[[ 0.85270533  0.11527806]],(-0.74039540430266382,)
[[ 0.72586463  0.70400056]],(-1.0224962567477873,)
[[ 0.14570269  0.23790193]],(-0.077826600796808032,)
[[ 0.96433406  0.82971777]],(-1.6183717644576756,)
[[ 0.47385315  0.06946701]],(-0.22936247201670568,)
[[ 0.54209988  0.8141958 ]],(-0.95678708337910345,)
[[ 0.11061151  0.07118579]],(-0.017302323112669958,)
[[ 0.76930462  0.9745694 ]],(-1.5416151211873146,)
